   X,    Y,    Latitude,   Longitude, CIN_200612200000
   1,    1,   12.190000, -133.459000,          -11
   2,    1,   12.289392, -133.108465,          -13
   3,    1,   12.387933, -132.757405,           -9
   4,    1,   12.485621, -132.405825,           -1
   5,    1,   12.582452, -132.053728,            1
   6,    1,   12.678424, -131.701118,            1
   7,    1,   12.773532, -131.347998,            1
   8,    1,   12.867775, -130.994371,            1
   9,    1,   12.961149, -130.640243,            1
  10,    1,   13.053651, -130.285616,            1
  11,    1,   13.145277, -129.930494,            1
  12,    1,   13.236026, -129.574881,           -7
  13,    1,   13.325894, -129.218781,          -11
  14,    1,   13.414878, -128.862198,          -11
  15,    1,   13.502975, -128.505136,          -19
  16,    1,   13.590183, -128.147599,          -39
  17,    1,   13.676498, -127.789590,          -55
  18,    1,   13.761918, -127.431115,          -65
  19,    1,   13.846441, -127.072176,          -77
  20,    1,   13.930063, -126.712779,          -97
  21,    1,   14.012781, -126.352927,         -119
  22,    1,   14.094594, -125.992625,         -141
  23,    1,   14.175498, -125.631877,           -1
  24,    1,   14.255491, -125.270687,           -3
  25,    1,   14.334570, -124.909059,           -7
  26,    1,   14.412733, -124.546998,          -23
  27,    1,   14.489977, -124.184509,          -23
  28,    1,   14.566300, -123.821595,          -19
  29,    1,   14.641700, -123.458261,          -13
  30,    1,   14.716174, -123.094512,          -79
  31,    1,   14.789719, -122.730352,          -43
  32,    1,   14.862333, -122.365786,          -45
  33,    1,   14.934015, -122.000818,          -57
  34,    1,   15.004761, -121.635453,          -37
  35,    1,   15.074570, -121.269695,          -89
  36,    1,   15.143440, -120.903550,          -35
  37,    1,   15.211367, -120.537022,          -11
  38,    1,   15.278350, -120.170116,          -25
  39,    1,   15.344387, -119.802836,          -15
  40,    1,   15.409476, -119.435188,          -11
  41,    1,   15.473615, -119.067177,          -23
  42,    1,   15.536802, -118.698806,          -55
  43,    1,   15.599034, -118.330082,          -63
  44,    1,   15.660310, -117.961008,          -77
  45,    1,   15.720628, -117.591591,         -111
  46,    1,   15.779986, -117.221835,         -147
  47,    1,   15.838382, -116.851744,         -131
  48,    1,   15.895815, -116.481326,          -93
  49,    1,   15.952282, -116.110583,          -99
  50,    1,   16.007781, -115.739522,          -43
  51,    1,   16.062312, -115.368147,          -15
  52,    1,   16.115872, -114.996464,          -17
  53,    1,   16.168460, -114.624478,           -1
  54,    1,   16.220074, -114.252194,            1
  55,    1,   16.270712, -113.879618,            1
  56,    1,   16.320373, -113.506754,           -1
  57,    1,   16.369056, -113.133609,           -3
  58,    1,   16.416758, -112.760187,           -7
  59,    1,   16.463479, -112.386494,           -1
  60,    1,   16.509216, -112.012534,           -7
  61,    1,   16.553969, -111.638315,           -7
  62,    1,   16.597736, -111.263840,           -5
  63,    1,   16.640516, -110.889116,           -9
  64,    1,   16.682307, -110.514148,          -25
  65,    1,   16.723109, -110.138941,          -31
  66,    1,   16.762919, -109.763502,          -31
  67,    1,   16.801737, -109.387834,          -35
  68,    1,   16.839562, -109.011945,          -25
  69,    1,   16.876391, -108.635840,          -35
  70,    1,   16.912225, -108.259524,          -47
  71,    1,   16.947062, -107.883002,          -79
  72,    1,   16.980901, -107.506282,          -87
  73,    1,   17.013741, -107.129367,          -87
  74,    1,   17.045581, -106.752265,          -93
  75,    1,   17.076420, -106.374980,          -99
  76,    1,   17.106257, -105.997518,          -99
  77,    1,   17.135091, -105.619886,          -77
  78,    1,   17.162921, -105.242088,          -67
  79,    1,   17.189747, -104.864131,          -65
  80,    1,   17.215567, -104.486020,          -61
  81,    1,   17.240381, -104.107761,          -57
  82,    1,   17.264189, -103.729360,          -47
  83,    1,   17.286988, -103.350823,          -41
  84,    1,   17.308779, -102.972156,          -45
  85,    1,   17.329561, -102.593364,          -45
  86,    1,   17.349333, -102.214453,          -43
  87,    1,   17.368095, -101.835429,          -73
  88,    1,   17.385847, -101.456299,          -75
  89,    1,   17.402586, -101.077067,         -145
  90,    1,   17.418314, -100.697740,          -53
  91,    1,   17.433030, -100.318324,            1
  92,    1,   17.446732,  -99.938824,          -19
  93,    1,   17.459422,  -99.559247,          -39
  94,    1,   17.471097,  -99.179599,          -31
  95,    1,   17.481759,  -98.799885,            1
  96,    1,   17.491407,  -98.420111,          -31
  97,    1,   17.500039,  -98.040284,          -11
  98,    1,   17.507657,  -97.660409,          -67
  99,    1,   17.514260,  -97.280492,            1
 100,    1,   17.519848,  -96.900539,            1
 101,    1,   17.524420,  -96.520556,            1
 102,    1,   17.527976,  -96.140550,           -5
 103,    1,   17.530517,  -95.760525,          -53
 104,    1,   17.532042,  -95.380489,          -39
 105,    1,   17.532551,  -95.000447,           -3
 106,    1,   17.532044,  -94.620404,          -47
 107,    1,   17.530522,  -94.240368,          -11
 108,    1,   17.527983,  -93.860343,           -9
 109,    1,   17.524429,  -93.480337,           -5
