   X,    Y,    Latitude,   Longitude, DPT_200612191200
   1,    1,   12.190000, -133.459000,           36
   2,    1,   12.289392, -133.108465,           35
   3,    1,   12.387933, -132.757405,           36
   4,    1,   12.485621, -132.405825,           36
   5,    1,   12.582452, -132.053728,           36
   6,    1,   12.678424, -131.701118,           37
   7,    1,   12.773532, -131.347998,           38
   8,    1,   12.867775, -130.994371,           39
   9,    1,   12.961149, -130.640243,           41
  10,    1,   13.053651, -130.285616,           41
  11,    1,   13.145277, -129.930494,           42
  12,    1,   13.236026, -129.574881,           41
  13,    1,   13.325894, -129.218781,           41
  14,    1,   13.414878, -128.862198,           40
  15,    1,   13.502975, -128.505136,           40
  16,    1,   13.590183, -128.147599,           40
  17,    1,   13.676498, -127.789590,           40
  18,    1,   13.761918, -127.431115,           41
  19,    1,   13.846441, -127.072176,           41
  20,    1,   13.930063, -126.712779,           42
  21,    1,   14.012781, -126.352927,           43
  22,    1,   14.094594, -125.992625,           43
  23,    1,   14.175498, -125.631877,           40
  24,    1,   14.255491, -125.270687,           43
  25,    1,   14.334570, -124.909059,           45
  26,    1,   14.412733, -124.546998,           47
  27,    1,   14.489977, -124.184509,           47
  28,    1,   14.566300, -123.821595,           47
  29,    1,   14.641700, -123.458261,           47
  30,    1,   14.716174, -123.094512,           47
  31,    1,   14.789719, -122.730352,           46
  32,    1,   14.862333, -122.365786,           46
  33,    1,   14.934015, -122.000818,           46
  34,    1,   15.004761, -121.635453,           46
  35,    1,   15.074570, -121.269695,           46
  36,    1,   15.143440, -120.903550,           45
  37,    1,   15.211367, -120.537022,           45
  38,    1,   15.278350, -120.170116,           45
  39,    1,   15.344387, -119.802836,           44
  40,    1,   15.409476, -119.435188,           43
  41,    1,   15.473615, -119.067177,           42
  42,    1,   15.536802, -118.698806,           41
  43,    1,   15.599034, -118.330082,           42
  44,    1,   15.660310, -117.961008,           42
  45,    1,   15.720628, -117.591591,           42
  46,    1,   15.779986, -117.221835,           38
  47,    1,   15.838382, -116.851744,           38
  48,    1,   15.895815, -116.481326,           42
  49,    1,   15.952282, -116.110583,           42
  50,    1,   16.007781, -115.739522,           43
  51,    1,   16.062312, -115.368147,           41
  52,    1,   16.115872, -114.996464,           37
  53,    1,   16.168460, -114.624478,           36
  54,    1,   16.220074, -114.252194,           36
  55,    1,   16.270712, -113.879618,           36
  56,    1,   16.320373, -113.506754,           36
  57,    1,   16.369056, -113.133609,           36
  58,    1,   16.416758, -112.760187,           36
  59,    1,   16.463479, -112.386494,           36
  60,    1,   16.509216, -112.012534,           38
  61,    1,   16.553969, -111.638315,           43
  62,    1,   16.597736, -111.263840,           44
  63,    1,   16.640516, -110.889116,           45
  64,    1,   16.682307, -110.514148,           45
  65,    1,   16.723109, -110.138941,           45
  66,    1,   16.762919, -109.763502,           44
  67,    1,   16.801737, -109.387834,           42
  68,    1,   16.839562, -109.011945,           38
  69,    1,   16.876391, -108.635840,           37
  70,    1,   16.912225, -108.259524,           33
  71,    1,   16.947062, -107.883002,           33
  72,    1,   16.980901, -107.506282,           33
  73,    1,   17.013741, -107.129367,           34
  74,    1,   17.045581, -106.752265,           35
  75,    1,   17.076420, -106.374980,           34
  76,    1,   17.106257, -105.997518,           34
  77,    1,   17.135091, -105.619886,           36
  78,    1,   17.162921, -105.242088,           37
  79,    1,   17.189747, -104.864131,           38
  80,    1,   17.215567, -104.486020,           37
  81,    1,   17.240381, -104.107761,           38
  82,    1,   17.264189, -103.729360,           38
  83,    1,   17.286988, -103.350823,           39
  84,    1,   17.308779, -102.972156,           39
