   X,    Y,    Latitude,   Longitude, HLCY_200612191500
   1,    1,   12.190000, -133.459000,          466
   2,    1,   12.289392, -133.108465,          466
   3,    1,   12.387933, -132.757405,          486
   4,    1,   12.485621, -132.405825,          466
   5,    1,   12.582452, -132.053728,          486
   6,    1,   12.678424, -131.701118,          506
   7,    1,   12.773532, -131.347998,          486
   8,    1,   12.867775, -130.994371,          506
   9,    1,   12.961149, -130.640243,          506
  10,    1,   13.053651, -130.285616,          526
  11,    1,   13.145277, -129.930494,          486
  12,    1,   13.236026, -129.574881,          506
  13,    1,   13.325894, -129.218781,          506
  14,    1,   13.414878, -128.862198,          546
  15,    1,   13.502975, -128.505136,          546
  16,    1,   13.590183, -128.147599,          526
  17,    1,   13.676498, -127.789590,          506
  18,    1,   13.761918, -127.431115,          486
  19,    1,   13.846441, -127.072176,          406
  20,    1,   13.930063, -126.712779,          306
  21,    1,   14.012781, -126.352927,          226
  22,    1,   14.094594, -125.992625,          206
  23,    1,   14.175498, -125.631877,          226
  24,    1,   14.255491, -125.270687,          246
  25,    1,   14.334570, -124.909059,          206
  26,    1,   14.412733, -124.546998,          126
  27,    1,   14.489977, -124.184509,            6
  28,    1,   14.566300, -123.821595,          -74
  29,    1,   14.641700, -123.458261,         -114
  30,    1,   14.716174, -123.094512,          -94
  31,    1,   14.789719, -122.730352,          -54
  32,    1,   14.862333, -122.365786,          -34
  33,    1,   14.934015, -122.000818,          -14
  34,    1,   15.004761, -121.635453,            6
  35,    1,   15.074570, -121.269695,           26
  36,    1,   15.143440, -120.903550,           26
  37,    1,   15.211367, -120.537022,           46
  38,    1,   15.278350, -120.170116,           46
  39,    1,   15.344387, -119.802836,           86
  40,    1,   15.409476, -119.435188,          106
  41,    1,   15.473615, -119.067177,          106
  42,    1,   15.536802, -118.698806,          126
  43,    1,   15.599034, -118.330082,          146
  44,    1,   15.660310, -117.961008,          146
  45,    1,   15.720628, -117.591591,          166
  46,    1,   15.779986, -117.221835,          186
  47,    1,   15.838382, -116.851744,          186
  48,    1,   15.895815, -116.481326,          206
  49,    1,   15.952282, -116.110583,          226
  50,    1,   16.007781, -115.739522,          226
  51,    1,   16.062312, -115.368147,          246
  52,    1,   16.115872, -114.996464,          266
  53,    1,   16.168460, -114.624478,          286
  54,    1,   16.220074, -114.252194,          326
  55,    1,   16.270712, -113.879618,          306
  56,    1,   16.320373, -113.506754,          246
  57,    1,   16.369056, -113.133609,          186
  58,    1,   16.416758, -112.760187,           86
  59,    1,   16.463479, -112.386494,           66
  60,    1,   16.509216, -112.012534,           46
  61,    1,   16.553969, -111.638315,           26
  62,    1,   16.597736, -111.263840,           66
  63,    1,   16.640516, -110.889116,           86
  64,    1,   16.682307, -110.514148,          126
  65,    1,   16.723109, -110.138941,          226
  66,    1,   16.762919, -109.763502,          266
  67,    1,   16.801737, -109.387834,          246
  68,    1,   16.839562, -109.011945,          246
  69,    1,   16.876391, -108.635840,          246
  70,    1,   16.912225, -108.259524,          266
  71,    1,   16.947062, -107.883002,          266
  72,    1,   16.980901, -107.506282,          206
  73,    1,   17.013741, -107.129367,          186
  74,    1,   17.045581, -106.752265,          146
  75,    1,   17.076420, -106.374980,          146
  76,    1,   17.106257, -105.997518,          146
  77,    1,   17.135091, -105.619886,          126
  78,    1,   17.162921, -105.242088,          106
  79,    1,   17.189747, -104.864131,           86
  80,    1,   17.215567, -104.486020,           86
  81,    1,   17.240381, -104.107761,           66
  82,    1,   17.264189, -103.729360,           46
  83,    1,   17.286988, -103.350823,           46
  84,    1,   17.308779, -102.972156,           26
  85,    1,   17.329561, -102.593364,           26
  86,    1,   17.349333, -102.214453,            6
  87,    1,   17.368095, -101.835429,          -14
  88,    1,   17.385847, -101.456299,            6
  89,    1,   17.402586, -101.077067,           26
  90,    1,   17.418314, -100.697740,           66
  91,    1,   17.433030, -100.318324,           66
  92,    1,   17.446732,  -99.938824,          106
  93,    1,   17.459422,  -99.559247,           86
  94,    1,   17.471097,  -99.179599,           86
  95,    1,   17.481759,  -98.799885,           86
  96,    1,   17.491407,  -98.420111,          146
  97,    1,   17.500039,  -98.040284,          126
  98,    1,   17.507657,  -97.660409,          -74
  99,    1,   17.514260,  -97.280492,          -74
 100,    1,   17.519848,  -96.900539,           46
 101,    1,   17.524420,  -96.520556,          -34
 102,    1,   17.527976,  -96.140550,          166
 103,    1,   17.530517,  -95.760525,          146
 104,    1,   17.532042,  -95.380489,          146
 105,    1,   17.532551,  -95.000447,          146
 106,    1,   17.532044,  -94.620404,          106
 107,    1,   17.530522,  -94.240368,          106
 108,    1,   17.527983,  -93.860343,          126
 109,    1,   17.524429,  -93.480337,          106
 110,    1,   17.519860,  -93.100354,           46
 111,    1,   17.514275,  -92.720401,           26
 112,    1,   17.507674,  -92.340484,           46
 113,    1,   17.500058,  -91.960609,           46
 114,    1,   17.491428,  -91.580782,           66
 115,    1,   17.481783,  -91.201008,           66
 116,    1,   17.471124,  -90.821294,           46
 117,    1,   17.459450,  -90.441645,           46
 118,    1,   17.446763,  -90.062068,           46
 119,    1,   17.433063,  -89.682568,           46
 120,    1,   17.418350,  -89.303152,           46
 121,    1,   17.402624,  -88.923825,           66
 122,    1,   17.385887,  -88.544593,           66
 123,    1,   17.368138,  -88.165462,           46
 124,    1,   17.349379,  -87.786438,           46
 125,    1,   17.329609,  -87.407527,           26
 126,    1,   17.308829,  -87.028735,            6
 127,    1,   17.287040,  -86.650067,            6
 128,    1,   17.264243,  -86.271530,            6
 129,    1,   17.240439,  -85.893128,           26
 130,    1,   17.215627,  -85.514869,            6
 131,    1,   17.189809,  -85.136758,            6
 132,    1,   17.162986,  -84.758800,            6
 133,    1,   17.135158,  -84.381002,          -14
 134,    1,   17.106326,  -84.003369,          -14
 135,    1,   17.076491,  -83.625907,          -14
 136,    1,   17.045655,  -83.248622,          -14
 137,    1,   17.013817,  -82.871519,          -14
 138,    1,   16.980980,  -82.494604,          -14
 139,    1,   16.947143,  -82.117883,          -14
 140,    1,   16.912308,  -81.741361,          -14
 141,    1,   16.876477,  -81.365045,          -14
 142,    1,   16.839649,  -80.988939,          -14
 143,    1,   16.801827,  -80.613049,          -14
 144,    1,   16.763012,  -80.237381,          -14
 145,    1,   16.723204,  -79.861941,            6
 146,    1,   16.682405,  -79.486734,            6
 147,    1,   16.640616,  -79.111765,            6
 148,    1,   16.597838,  -78.737040,           26
 149,    1,   16.554073,  -78.362565,           26
 150,    1,   16.509323,  -77.988345,           46
 151,    1,   16.463587,  -77.614385,           66
 152,    1,   16.416869,  -77.240691,           66
 153,    1,   16.369169,  -76.867269,           46
 154,    1,   16.320489,  -76.494122,           66
 155,    1,   16.270830,  -76.121258,           66
 156,    1,   16.220194,  -75.748681,           66
 157,    1,   16.168583,  -75.376397,           86
 158,    1,   16.115997,  -75.004410,          106
 159,    1,   16.062439,  -74.632726,          126
 160,    1,   16.007911,  -74.261351,          126
 161,    1,   15.952413,  -73.890289,          126
 162,    1,   15.895949,  -73.519546,          106
 163,    1,   15.838518,  -73.149126,          106
 164,    1,   15.780125,  -72.779035,           86
 165,    1,   15.720769,  -72.409278,           86
 166,    1,   15.660453,  -72.039860,           86
 167,    1,   15.599179,  -71.670786,           86
 168,    1,   15.536949,  -71.302060,           66
 169,    1,   15.473765,  -70.933689,           66
 170,    1,   15.409628,  -70.565676,           86
 171,    1,   15.344542,  -70.198027,           66
 172,    1,   15.278507,  -69.830747,           66
 173,    1,   15.211525,  -69.463840,           66
 174,    1,   15.143600,  -69.097311,           46
 175,    1,   15.074733,  -68.731165,           26
 176,    1,   15.004927,  -68.365407,           26
 177,    1,   14.934183,  -68.000041,           26
 178,    1,   14.862503,  -67.635072,           26
 179,    1,   14.789891,  -67.270505,           26
 180,    1,   14.716348,  -66.906344,           26
 181,    1,   14.641876,  -66.542593,           46
 182,    1,   14.566479,  -66.179259,           26
 183,    1,   14.490158,  -65.816344,           26
 184,    1,   14.412916,  -65.453853,           26
 185,    1,   14.334755,  -65.091791,           46
   1,    2,   12.532556, -133.561383,          466
   2,    2,   12.632332, -133.210016,          486
   3,    2,   12.731254, -132.858120,          486
   4,    2,   12.829319, -132.505701,          526
   5,    2,   12.926524, -132.152760,          566
   6,    2,   13.022865, -131.799302,          586
   7,    2,   13.118339, -131.445330,          546
   8,    2,   13.212944, -131.090849,          546
   9,    2,   13.306676, -130.735861,          566
  10,    2,   13.399532, -130.380371,          566
  11,    2,   13.491510, -130.024382,          546
  12,    2,   13.582605, -129.667898,          526
  13,    2,   13.672816, -129.310924,          546
  14,    2,   13.762140, -128.953463,          506
  15,    2,   13.850573, -128.595519,          526
  16,    2,   13.938112, -128.237096,          506
  17,    2,   14.024756, -127.878198,          506
  18,    2,   14.110501, -127.518830,          486
  19,    2,   14.195344, -127.158995,          446
  20,    2,   14.279282, -126.798698,          366
  21,    2,   14.362314, -126.437942,          286
  22,    2,   14.444436, -126.076733,          206
  23,    2,   14.525645, -125.715074,          166
  24,    2,   14.605940, -125.352970,          146
  25,    2,   14.685317, -124.990424,          106
  26,    2,   14.763775, -124.627442,           66
  27,    2,   14.841310, -124.264028,           26
  28,    2,   14.917920, -123.900187,          -14
  29,    2,   14.993602, -123.535922,          -74
  30,    2,   15.068355, -123.171238,          -74
  31,    2,   15.142176, -122.806140,          -74
  32,    2,   15.215063, -122.440633,          -54
  33,    2,   15.287012, -122.074721,          -34
  34,    2,   15.358023, -121.708408,          -34
  35,    2,   15.428092, -121.341700,          -34
  36,    2,   15.497218, -120.974601,          -14
  37,    2,   15.565399, -120.607117,           26
  38,    2,   15.632631, -120.239251,           46
  39,    2,   15.698914, -119.871008,           86
