   X,    Y,    Latitude,   Longitude, DPT_200612191200
   1,    1,   12.190000, -133.459000,           61
   2,    1,   12.289392, -133.108465,           61
   3,    1,   12.387933, -132.757405,           61
   4,    1,   12.485621, -132.405825,           60
   5,    1,   12.582452, -132.053728,           60
   6,    1,   12.678424, -131.701118,           60
   7,    1,   12.773532, -131.347998,           60
   8,    1,   12.867775, -130.994371,           60
   9,    1,   12.961149, -130.640243,           60
  10,    1,   13.053651, -130.285616,           60
  11,    1,   13.145277, -129.930494,           60
  12,    1,   13.236026, -129.574881,           60
  13,    1,   13.325894, -129.218781,           60
  14,    1,   13.414878, -128.862198,           60
  15,    1,   13.502975, -128.505136,           60
  16,    1,   13.590183, -128.147599,           60
  17,    1,   13.676498, -127.789590,           59
  18,    1,   13.761918, -127.431115,           59
  19,    1,   13.846441, -127.072176,           60
  20,    1,   13.930063, -126.712779,           60
  21,    1,   14.012781, -126.352927,           59
  22,    1,   14.094594, -125.992625,           59
  23,    1,   14.175498, -125.631877,           60
  24,    1,   14.255491, -125.270687,           60
  25,    1,   14.334570, -124.909059,           60
  26,    1,   14.412733, -124.546998,           59
  27,    1,   14.489977, -124.184509,           59
  28,    1,   14.566300, -123.821595,           59
  29,    1,   14.641700, -123.458261,           58
  30,    1,   14.716174, -123.094512,           58
  31,    1,   14.789719, -122.730352,           58
  32,    1,   14.862333, -122.365786,           56
  33,    1,   14.934015, -122.000818,           55
  34,    1,   15.004761, -121.635453,           54
  35,    1,   15.074570, -121.269695,           53
  36,    1,   15.143440, -120.903550,           52
  37,    1,   15.211367, -120.537022,           51
  38,    1,   15.278350, -120.170116,           54
  39,    1,   15.344387, -119.802836,           56
  40,    1,   15.409476, -119.435188,           58
  41,    1,   15.473615, -119.067177,           56
  42,    1,   15.536802, -118.698806,           57
  43,    1,   15.599034, -118.330082,           57
  44,    1,   15.660310, -117.961008,           57
  45,    1,   15.720628, -117.591591,           55
  46,    1,   15.779986, -117.221835,           52
  47,    1,   15.838382, -116.851744,           51
  48,    1,   15.895815, -116.481326,           50
  49,    1,   15.952282, -116.110583,           53
  50,    1,   16.007781, -115.739522,           54
  51,    1,   16.062312, -115.368147,           55
  52,    1,   16.115872, -114.996464,           54
  53,    1,   16.168460, -114.624478,           55
  54,    1,   16.220074, -114.252194,           55
  55,    1,   16.270712, -113.879618,           55
  56,    1,   16.320373, -113.506754,           55
  57,    1,   16.369056, -113.133609,           55
  58,    1,   16.416758, -112.760187,           55
  59,    1,   16.463479, -112.386494,           53
  60,    1,   16.509216, -112.012534,           50
